"Variable","Lasso","CorrectLasso","CoCoLasso"
"Age",0,0,0
"Sex",-0.0350125175637537,-0.0168128087728096,-0.0170766646028874
"baselinescore",0.131991931238199,0.111199007905863,0.11094214251719
"as.factor.medication.fluoxetine",0,0,0
"as.factor.medication.citalopram",0,0,0
"as.factor.medication.escitalopram",0,0,0
"as.factor.medication.paroxetine",-0.0187248758038427,-0.00618944544837033,-0.00620377062747145
"mediamount",0,0,0
"n_episode",-0.0104632557303772,0,0
"AgeSex",0.122590812911465,0.102534036996826,0.10266505950463
"mdd_howD19",0,0,0
"sczeur_vasT22",0,0,0
"TRD_CAD_ukbcard",0,0,0
"t2d_mahA18",0,0,0
"TRD_crp_sarS22",0,0,0
"TRD_DrnkWkEur_greS22",0,0,0
"TRD_AgeSmkEur_greS22",0,0,0
"TRD_CigDayEur_greS22",0,0,0
"TRD_SmkInitEur_greS22",0,0,0
"TRD_SmkCesEur_gre22",0,0,0
"TRD_EA_jamL18",0,0,0
"Inflam_neut_minC20",0,0,0
"Inflam_lymp_minC20",0,0,0
"TRD_strokeeur_aniM22",0,0,0
"TRD_cardstrokeeur_aniM22",0,0,0
"TRD_iscstrokeeur_aniM22",0.00633037969476516,0,0
"TRD_svesstrokeeur_aniM22",0,0,0
"TRD_lvesstrokeeur_aniM22",0.015982697175457,0,0
"TRD_HtEur_loiY22",0,0,0
"TRD_wt_ukbv3",0,0,0
"bmi_sarP19",0,0,0
"TRD_bfr_ukbv3",0,0,0
"TRD_wc_ukbv3",0,0,0
"TRD_hc_ukbv3",0.0200467676966593,0.0155284561871877,0.0121595430660119
"whr_sarP19",0,0,0
"TRD_dbp_ukbv3",0,0,0
"TRD_sbp_ukbv3",0,0,0
"TRD_HrtRate_zhaZ19",-0.0326844706859335,-0.153437844688944,-0.156654419681809
"TRD_wbc_ukbv3",0,0,0
"TRD_rbc_ukbv3",-0.00206107553569232,0,0
"TRD_hb_ukbv3",0,0,0
"TRD_hct_ukbv3",0,0,0
"TRD_plt_ukbv3",0,0,0
"TRD_bun_ukbv3",0,0,0
"TRD_cr_ukbv3",0,0,0
"TRD_malb_ukbv3",0,0,0
"TRD_ua_ukbv3",0,0,0
"TRD_tbil_ukbv3",0,0,0
"TRD_alt_ukbv3",0,0,0
"TRD_ast_ukbv3",0,0,0
"TRD_ggt_ukbv3",0,0,0
"TRD_alb_ukbv3",0,0,0
"TRD_fev_ukbv3",0,0,0
"TRD_fvc_ukbv3",0,0,0
"TRD_fg_ukbv3",0,0,0
"TRD_hba1c_ukbv3",0,0,0
"TRD_tc_ukbv3",0,0,0
"TRD_hdl_ukbv3",0,0,0
"TRD_ldl_ukbv3",0,0,0
"TRD_tg_ukbv3",-0.0136935820580943,0,0
